p_canon	seed	model	subject	corr	mae	brier
0.60	42	Static	S1	nan	0.406734	0.165433
0.60	42	Static	S2	nan	0.300000	0.116821
0.60	42	Static	S3	nan	0.183333	0.062638
0.60	42	Static	S4	nan	0.419291	0.175805
0.60	42	Static	S5	nan	0.285297	0.104695
0.60	42	Static	S6	nan	0.275360	0.101112
0.60	42	Independent	S1	nan	0.406671	0.166174
0.60	42	Independent	S2	0.997968	0.243015	0.076087
0.60	42	Independent	S3	-0.127903	0.185594	0.064317
0.60	42	Independent	S4	nan	0.419160	0.178054
0.60	42	Independent	S5	0.881045	0.243259	0.075658
0.60	42	Independent	S6	0.631255	0.250726	0.089317
0.60	42	TimeGlobal	S1	nan	0.406355	0.166084
0.60	42	TimeGlobal	S2	0.925886	0.269074	0.096929
0.60	42	TimeGlobal	S3	0.852029	0.159838	0.053081
0.60	42	TimeGlobal	S4	nan	0.419200	0.176633
0.60	42	TimeGlobal	S5	0.971179	0.262277	0.089704
0.60	42	TimeGlobal	S6	0.896537	0.251767	0.088955
0.60	42	TimeInteractive	S1	nan	0.407162	0.167518
0.60	42	TimeInteractive	S2	0.998616	0.247019	0.078707
0.60	42	TimeInteractive	S3	0.315170	0.171343	0.059328
0.60	42	TimeInteractive	S4	nan	0.422266	0.179245
0.60	42	TimeInteractive	S5	0.802190	0.255246	0.080680
0.60	42	TimeInteractive	S6	0.686654	0.251952	0.087968
0.60	43	Static	S1	nan	0.386830	0.149637
0.60	43	Static	S2	nan	0.300000	0.116722
0.60	43	Static	S3	nan	0.183333	0.070148
0.60	43	Static	S4	nan	0.397742	0.158198
0.60	43	Static	S5	nan	0.277312	0.096203
0.60	43	Static	S6	nan	0.276199	0.102257
0.60	43	Independent	S1	nan	0.386832	0.150445
0.60	43	Independent	S2	0.824838	0.234559	0.081634
0.60	43	Independent	S3	0.893404	0.169382	0.061670
0.60	43	Independent	S4	nan	0.397721	0.159651
0.60	43	Independent	S5	0.213648	0.276962	0.093149
0.60	43	Independent	S6	0.786048	0.245673	0.084035
0.60	43	TimeGlobal	S1	nan	0.386766	0.150087
0.60	43	TimeGlobal	S2	0.782966	0.278943	0.103970
0.60	43	TimeGlobal	S3	0.689189	0.171542	0.064125
0.60	43	TimeGlobal	S4	nan	0.397850	0.158788
0.60	43	TimeGlobal	S5	0.901689	0.261788	0.086900
0.60	43	TimeGlobal	S6	0.878441	0.259644	0.093967
0.60	43	TimeInteractive	S1	nan	0.385944	0.149768
0.60	43	TimeInteractive	S2	0.872249	0.232860	0.078993
0.60	43	TimeInteractive	S3	0.902119	0.171295	0.064403
0.60	43	TimeInteractive	S4	nan	0.398682	0.159561
0.60	43	TimeInteractive	S5	0.369889	0.271217	0.088942
0.60	43	TimeInteractive	S6	0.783780	0.244956	0.083973
0.60	44	Static	S1	nan	0.365687	0.133727
0.60	44	Static	S2	nan	0.300000	0.116691
0.60	44	Static	S3	nan	0.183333	0.063725
0.60	44	Static	S4	nan	0.400215	0.160172
0.60	44	Static	S5	nan	0.282786	0.101901
0.60	44	Static	S6	nan	0.282029	0.110559
0.60	44	Independent	S1	nan	0.365681	0.134932
0.60	44	Independent	S2	0.673758	0.243238	0.089822
0.60	44	Independent	S3	0.781192	0.158956	0.044267
0.60	44	Independent	S4	nan	0.400334	0.162790
0.60	44	Independent	S5	0.899501	0.235420	0.068228
0.60	44	Independent	S6	0.542354	0.273166	0.101444
0.60	44	TimeGlobal	S1	nan	0.365718	0.134996
0.60	44	TimeGlobal	S2	0.863523	0.265881	0.095054
0.60	44	TimeGlobal	S3	0.872987	0.160503	0.051129
0.60	44	TimeGlobal	S4	nan	0.400211	0.161520
0.60	44	TimeGlobal	S5	0.839501	0.263955	0.086539
0.60	44	TimeGlobal	S6	0.752822	0.262525	0.098486
0.60	44	TimeInteractive	S1	nan	0.364389	0.134148
0.60	44	TimeInteractive	S2	0.703674	0.250097	0.091310
0.60	44	TimeInteractive	S3	0.805718	0.157655	0.046478
0.60	44	TimeInteractive	S4	nan	0.400434	0.162684
0.60	44	TimeInteractive	S5	0.831859	0.242596	0.071124
0.60	44	TimeInteractive	S6	0.432498	0.278650	0.103255
0.70	42	Static	S1	nan	0.310915	0.096668
0.70	42	Static	S2	nan	0.300000	0.116741
0.70	42	Static	S3	nan	0.183333	0.049583
0.70	42	Static	S4	nan	0.297797	0.088683
0.70	42	Static	S5	nan	0.265125	0.085455
0.70	42	Static	S6	nan	0.253685	0.075939
0.70	42	Independent	S1	nan	0.311025	0.097777
0.70	42	Independent	S2	0.994973	0.170129	0.039921
0.70	42	Independent	S3	0.908199	0.142576	0.034365
0.70	42	Independent	S4	nan	0.298045	0.090875
0.70	42	Independent	S5	0.943360	0.169901	0.037530
0.70	42	Independent	S6	0.867784	0.197839	0.053167
0.70	42	TimeGlobal	S1	nan	0.310937	0.099838
0.70	42	TimeGlobal	S2	0.972634	0.239038	0.077840
0.70	42	TimeGlobal	S3	0.929392	0.126183	0.030213
0.70	42	TimeGlobal	S4	nan	0.297992	0.091597
0.70	42	TimeGlobal	S5	0.976382	0.218950	0.057585
0.70	42	TimeGlobal	S6	0.908242	0.207635	0.054093
0.70	42	TimeInteractive	S1	nan	0.313000	0.099116
0.70	42	TimeInteractive	S2	0.992194	0.167794	0.040188
0.70	42	TimeInteractive	S3	0.895684	0.139855	0.033023
0.70	42	TimeInteractive	S4	nan	0.298838	0.091479
0.70	42	TimeInteractive	S5	0.927689	0.175493	0.038741
0.70	42	TimeInteractive	S6	0.877304	0.205190	0.055672
0.70	43	Static	S1	nan	0.274885	0.075562
0.70	43	Static	S2	nan	0.300000	0.116925
0.70	43	Static	S3	nan	0.183333	0.059133
0.70	43	Static	S4	nan	0.296747	0.088059
0.70	43	Static	S5	nan	0.262221	0.083288
0.70	43	Static	S6	nan	0.260738	0.083202
0.70	43	Independent	S1	nan	0.274865	0.075707
0.70	43	Independent	S2	0.955156	0.181330	0.049760
0.70	43	Independent	S3	0.949234	0.137646	0.036953
0.70	43	Independent	S4	nan	0.296693	0.088820
0.70	43	Independent	S5	0.818669	0.208792	0.053245
0.70	43	Independent	S6	0.964507	0.181582	0.048162
0.70	43	TimeGlobal	S1	nan	0.275200	0.077894
0.70	43	TimeGlobal	S2	0.951340	0.245357	0.082156
0.70	43	TimeGlobal	S3	0.867758	0.143334	0.042210
0.70	43	TimeGlobal	S4	nan	0.297061	0.090532
0.70	43	TimeGlobal	S5	0.994046	0.218236	0.058496
0.70	43	TimeGlobal	S6	0.971643	0.215526	0.062454
0.70	43	TimeInteractive	S1	nan	0.271955	0.074338
0.70	43	TimeInteractive	S2	0.945352	0.181199	0.049781
0.70	43	TimeInteractive	S3	0.845892	0.136877	0.039580
0.70	43	TimeInteractive	S4	nan	0.297621	0.088960
0.70	43	TimeInteractive	S5	0.850849	0.206747	0.053217
0.70	43	TimeInteractive	S6	0.964041	0.179101	0.046581
0.70	44	Static	S1	nan	0.276143	0.076255
0.70	44	Static	S2	nan	0.300000	0.116681
0.70	44	Static	S3	nan	0.183333	0.053912
0.70	44	Static	S4	nan	0.301804	0.091086
0.70	44	Static	S5	nan	0.271032	0.090330
0.70	44	Static	S6	nan	0.257817	0.080086
0.70	44	Independent	S1	nan	0.276120	0.076710
0.70	44	Independent	S2	0.942905	0.172594	0.048596
0.70	44	Independent	S3	0.944872	0.116183	0.023394
0.70	44	Independent	S4	nan	0.301724	0.091649
0.70	44	Independent	S5	0.980647	0.185039	0.043650
0.70	44	Independent	S6	0.968992	0.203248	0.056230
0.70	44	TimeGlobal	S1	nan	0.276124	0.078988
0.70	44	TimeGlobal	S2	0.972515	0.235332	0.076189
0.70	44	TimeGlobal	S3	0.937855	0.128353	0.032957
0.70	44	TimeGlobal	S4	nan	0.301744	0.094069
0.70	44	TimeGlobal	S5	0.962786	0.223581	0.061491
0.70	44	TimeGlobal	S6	0.919360	0.210396	0.057661
0.70	44	TimeInteractive	S1	nan	0.278170	0.077631
0.70	44	TimeInteractive	S2	0.914304	0.170930	0.049684
0.70	44	TimeInteractive	S3	0.951342	0.114743	0.024750
0.70	44	TimeInteractive	S4	nan	0.302340	0.091893
0.70	44	TimeInteractive	S5	0.962483	0.190515	0.044941
0.70	44	TimeInteractive	S6	0.948281	0.209802	0.058518
0.75	42	Static	S1	nan	0.258715	0.066933
