model,model_label,class,class_label,epoch,mean,std,lower,upper
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,0,0.9128205128205128,0.005875097044815171,0.9069454157756976,0.918695609865328
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,1,0.8238095238095237,0.010309826235528955,0.8134996975739947,0.8341193500450527
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,2,0.8217391304347826,0.032825367109872876,0.7889137633249098,0.8545644975446555
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,3,0.7434782608695653,0.0150613113701642,0.7284169494994011,0.7585395722397295
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,4,0.764102564102564,0.03271115595428993,0.7313914081482741,0.796813720056854
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,5,0.5361111111111111,0.017347216662217817,0.5187638944488933,0.5534583277733289
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,6,0.4761904761904762,0.02651316363252389,0.44967731255795235,0.5027036398230001
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,7,0.47142857142857136,0.021821789023599308,0.44960678240497204,0.4932503604521707
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,8,0.5964912280701755,0.023732893435909973,0.5727583346342655,0.6202241215060855
Additive,Additive Time-Conditioned Transformer,bifurc,Bifurcation,9,0.5305555555555556,0.039601603970509006,0.49095395158504657,0.5701571595260646
Additive,Additive Time-Conditioned Transformer,drift,Drift,0,0.8474358974358974,0.0458859747901879,0.8015499226457096,0.8933218722260853
Additive,Additive Time-Conditioned Transformer,drift,Drift,1,0.7620689655172413,0.024137931034482713,0.7379310344827587,0.786206896551724
Additive,Additive Time-Conditioned Transformer,drift,Drift,2,0.6909090909090909,0.024242424242424288,0.6666666666666666,0.7151515151515152
Additive,Additive Time-Conditioned Transformer,drift,Drift,3,0.7521739130434781,0.013043478260869587,0.7391304347826085,0.7652173913043477
Additive,Additive Time-Conditioned Transformer,drift,Drift,4,0.5691358024691359,0.01710667464265554,0.5520291278264803,0.5862424771117914
Additive,Additive Time-Conditioned Transformer,drift,Drift,5,0.5160919540229886,0.018991622576848558,0.49710033144614,0.5350835765998372
Additive,Additive Time-Conditioned Transformer,drift,Drift,6,0.4728395061728395,0.017106674642655605,0.4557328315301839,0.48994618081549507
Additive,Additive Time-Conditioned Transformer,drift,Drift,7,0.3782608695652174,0.007530655685082032,0.37073021388013533,0.3857915252502994
Additive,Additive Time-Conditioned Transformer,drift,Drift,8,0.3367816091954023,0.02020505267959417,0.3165765565158081,0.35698666187499645
Additive,Additive Time-Conditioned Transformer,drift,Drift,9,0.27777777777777773,0.005091750772173129,0.2726860270056046,0.28286952854995084
Additive,Additive Time-Conditioned Transformer,stable,Stable,0,0.7898550724637682,0.010040874246776106,0.779814198216992,0.7998959467105443
Additive,Additive Time-Conditioned Transformer,stable,Stable,1,0.7999999999999999,0.018559214542766773,0.7814407854572332,0.8185592145427667
Additive,Additive Time-Conditioned Transformer,stable,Stable,2,0.8230769230769232,0.02773500981126149,0.7953419132656616,0.8508119328881847
Additive,Additive Time-Conditioned Transformer,stable,Stable,3,0.7999999999999999,0.018951734537133415,0.7810482654628665,0.8189517345371333
Additive,Additive Time-Conditioned Transformer,stable,Stable,4,0.7333333333333333,0.011023963796102421,0.7223093695372309,0.7443572971294357
Additive,Additive Time-Conditioned Transformer,stable,Stable,5,0.786206896551724,0.03289445522127407,0.7533124413304499,0.8191013517729981
Additive,Additive Time-Conditioned Transformer,stable,Stable,6,0.7130952380952381,0.03431794120333228,0.6787772968919058,0.7474131792985704
Additive,Additive Time-Conditioned Transformer,stable,Stable,7,0.7463768115942028,0.06335505215766486,0.6830217594365379,0.8097318637518677
Additive,Additive Time-Conditioned Transformer,stable,Stable,8,0.6027777777777779,0.04173605333699089,0.5610417244407869,0.6445138311147688
Additive,Additive Time-Conditioned Transformer,stable,Stable,9,0.6575757575757576,0.04124441693580665,0.616331340639951,0.6988201745115642
Joint,Token-Time Transformer,bifurc,Bifurcation,0,0.8948717948717948,0.04870107670057081,0.846170718171224,0.9435728715723656
Joint,Token-Time Transformer,bifurc,Bifurcation,1,0.832142857142857,0.0340692571934623,0.7980735999493946,0.8662121143363193
Joint,Token-Time Transformer,bifurc,Bifurcation,2,0.8333333333333334,0.03798649977414823,0.7953468335591851,0.8713198331074816
Joint,Token-Time Transformer,bifurc,Bifurcation,3,0.7391304347826088,0.015676309893321604,0.7234541248892872,0.7548067446759303
Joint,Token-Time Transformer,bifurc,Bifurcation,4,0.7551282051282051,0.008006407690254333,0.7471217974379508,0.7631346128184594
Joint,Token-Time Transformer,bifurc,Bifurcation,5,0.5541666666666667,0.008333333333333262,0.5458333333333334,0.5625
Joint,Token-Time Transformer,bifurc,Bifurcation,6,0.5222222222222223,0.050917507721731564,0.4713047145004907,0.5731397299439538
Joint,Token-Time Transformer,bifurc,Bifurcation,7,0.46349206349206357,0.021472617870585204,0.4420194456214784,0.48496468136264875
Joint,Token-Time Transformer,bifurc,Bifurcation,8,0.5228070175438596,0.06167858186402437,0.46112843567983525,0.584485599407884
Joint,Token-Time Transformer,bifurc,Bifurcation,9,0.5208333333333334,0.032542706982944355,0.488290626350389,0.5533760403162777
Joint,Token-Time Transformer,drift,Drift,0,0.8474358974358974,0.018972626393524074,0.8284632710423734,0.8664085238294215
Joint,Token-Time Transformer,drift,Drift,1,0.8057471264367816,0.00199086299720561,0.803756263439576,0.8077379894339872
Joint,Token-Time Transformer,drift,Drift,2,0.7343434343434344,0.035121896264068087,0.6992215380793663,0.7694653306075026
Joint,Token-Time Transformer,drift,Drift,3,0.7478260869565218,0.02851060227957396,0.7193154846769478,0.7763366892360957
Joint,Token-Time Transformer,drift,Drift,4,0.5481481481481482,0.04857361869853333,0.49957452944961483,0.5967217668466815
Joint,Token-Time Transformer,drift,Drift,5,0.47471264367816096,0.050009907857027816,0.42470273582113316,0.5247225515351888
Joint,Token-Time Transformer,drift,Drift,6,0.46049382716049375,0.026013959883587023,0.43447986727690674,0.48650778704408076
Joint,Token-Time Transformer,drift,Drift,7,0.34927536231884054,0.023945958901243854,0.3253294034175967,0.3732213212200844
Joint,Token-Time Transformer,drift,Drift,8,0.27471264367816095,0.052219846857933586,0.22249279682022738,0.3269324905360945
Joint,Token-Time Transformer,drift,Drift,9,0.2333333333333333,0.03179797338056485,0.20153535995276844,0.2651313067138982
Joint,Token-Time Transformer,stable,Stable,0,0.8434782608695652,0.01992424215198186,0.8235540187175834,0.8634025030215471
Joint,Token-Time Transformer,stable,Stable,1,0.8311111111111109,0.021430335024428735,0.8096807760866822,0.8525414461355396
Joint,Token-Time Transformer,stable,Stable,2,0.864102564102564,0.012363654821785888,0.8517389092807781,0.87646621892435
Joint,Token-Time Transformer,stable,Stable,3,0.8347826086956521,0.015061311370164256,0.8197212973254878,0.8498439200658164
Joint,Token-Time Transformer,stable,Stable,4,0.7652777777777776,0.018788540636762066,0.7464892371410156,0.7840663184145397
Joint,Token-Time Transformer,stable,Stable,5,0.7839080459770115,0.010534656770013345,0.7733733892069982,0.7944427027470248
Joint,Token-Time Transformer,stable,Stable,6,0.7297619047619047,0.032208926805877905,0.6975529779560268,0.7619708315677827
Joint,Token-Time Transformer,stable,Stable,7,0.7971014492753623,0.029595040371974215,0.7675064089033881,0.8266964896473366
Joint,Token-Time Transformer,stable,Stable,8,0.6319444444444445,0.004811252243246936,0.6271331922011976,0.6367556966876915
Joint,Token-Time Transformer,stable,Stable,9,0.640909090909091,0.0558554805792932,0.5850536103297977,0.6967645714883842
Static,Standard Transformer,bifurc,Bifurcation,0,0.7935897435897435,0.05019685115500468,0.7433928924347388,0.8437865947447483
Static,Standard Transformer,bifurc,Bifurcation,1,0.7416666666666666,0.039339789623472135,0.7023268770431944,0.7810064562901388
Static,Standard Transformer,bifurc,Bifurcation,2,0.7811594202898551,0.08207301527401602,0.6990864050158391,0.8632324355638711
Static,Standard Transformer,bifurc,Bifurcation,3,0.7434782608695653,0.019924242151981922,0.7235540187175833,0.7634025030215472
Static,Standard Transformer,bifurc,Bifurcation,4,0.7730769230769231,0.0038461538461538325,0.7692307692307693,0.7769230769230769
Static,Standard Transformer,bifurc,Bifurcation,5,0.625,0.026020824993326672,0.5989791750066733,0.6510208249933267
Static,Standard Transformer,bifurc,Bifurcation,6,0.6238095238095238,0.02380952380952385,0.6,0.6476190476190476
Static,Standard Transformer,bifurc,Bifurcation,7,0.5857142857142857,0.05408484138857402,0.5316294443257117,0.6397991271028598
Static,Standard Transformer,bifurc,Bifurcation,8,0.6947368421052632,0.04496844076482903,0.6497684013404341,0.7397052828700923
Static,Standard Transformer,bifurc,Bifurcation,9,0.6819444444444445,0.030142408908625982,0.6518020355358185,0.7120868533530704
Static,Standard Transformer,drift,Drift,0,0.617948717948718,0.00587509704481524,0.6120736209039027,0.6238238149935332
Static,Standard Transformer,drift,Drift,1,0.5632183908045977,0.017355941230507498,0.5458624495740901,0.5805743320351052
Static,Standard Transformer,drift,Drift,2,0.5646464646464646,0.02314432169169607,0.5415021429547685,0.5877907863381607
Static,Standard Transformer,drift,Drift,3,0.591304347826087,0.026446793609992244,0.5648575542160947,0.6177511414360792
Static,Standard Transformer,drift,Drift,4,0.525925925925926,0.020621349491962954,0.5053045764339631,0.546547275417889
Static,Standard Transformer,drift,Drift,5,0.5103448275862069,0.0273698411489441,0.48297498643726283,0.5377146687351511
Static,Standard Transformer,drift,Drift,6,0.5370370370370371,0.03866780188485383,0.49836923515218323,0.575704838921891
Static,Standard Transformer,drift,Drift,7,0.42463768115942035,0.042894633585358694,0.38174304757406163,0.4675323147447791
Static,Standard Transformer,drift,Drift,8,0.4218390804597701,0.01592690397764488,0.4059121764821252,0.437765984437415
Static,Standard Transformer,drift,Drift,9,0.3866666666666667,0.02848001248439179,0.3581866541822749,0.4151466791510585
Static,Standard Transformer,stable,Stable,0,0.736231884057971,0.039451181416858445,0.6967807026411126,0.7756830654748295
Static,Standard Transformer,stable,Stable,1,0.7699999999999999,0.030550504633038912,0.739449495366961,0.8005505046330388
Static,Standard Transformer,stable,Stable,2,0.8089743589743591,0.017343268280087993,0.7916310906942711,0.8263176272544471
Static,Standard Transformer,stable,Stable,3,0.8144927536231883,0.03377153680501733,0.780721216818171,0.8482642904282056
Static,Standard Transformer,stable,Stable,4,0.7347222222222222,0.03182344232608207,0.7028987798961401,0.7665456645483042
Static,Standard Transformer,stable,Stable,5,0.8045977011494253,0.04113914981189261,0.7634585513375327,0.8457368509613179
Static,Standard Transformer,stable,Stable,6,0.7416666666666667,0.03818813079129864,0.703478535875368,0.7798547974579654
Static,Standard Transformer,stable,Stable,7,0.8289855072463769,0.02894925268904086,0.8000362545573361,0.8579347599354177
Static,Standard Transformer,stable,Stable,8,0.6805555555555555,0.022948210613692118,0.6576073449418633,0.7035037661692476
Static,Standard Transformer,stable,Stable,9,0.7560606060606062,0.020496589785558548,0.7355640162750476,0.7765571958461648
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,0,0.9051282051282051,0.011750194089630411,0.8933780110385747,0.9168783992178355
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,1,0.855952380952381,0.020926661703865417,0.8350257192485157,0.8768790426562464
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,2,0.8391304347826086,0.018951734537133325,0.8201787002454753,0.8580821693197419
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,3,0.7797101449275363,0.01757152993185815,0.7621386149956781,0.7972816748593945
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,4,0.773076923076923,0.025220917401161537,0.7478560056757615,0.7982978404780845
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,5,0.5736111111111111,0.022948210613692125,0.550662900497419,0.5965593217248032
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,6,0.49365079365079373,0.04294523574117046,0.4507055579096233,0.5365960293919642
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,7,0.4682539682539682,0.030614764320612577,0.43763920393335565,0.49886873257458075
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,8,0.5684210526315789,0.010526315789473717,0.5578947368421052,0.5789473684210527
Timeformer,Memory-Augmented Timeformer,bifurc,Bifurcation,9,0.5166666666666667,0.027322660517925014,0.4893440061487417,0.5439893271845917
