pair,point,n,cka_mean,cka_ci95_low,cka_ci95_high,procrustes_mean,procrustes_ci95_low,procrustes_ci95_high
Additive vs Token-Time,h1,31,0.8075877625443482,0.7698774791254144,0.845298045963282,0.255895298623293,0.22419177907230034,0.2875988181742857
Additive vs Token-Time,h2,31,0.8870529433115545,0.8555787630464663,0.9185271235766427,0.15768827387434559,0.12957342823389512,0.18580311951479606
Additive vs Token-Time,z,31,0.7262957637925199,0.6976307755473051,0.7549607520377347,0.41734742959531174,0.39388441226106086,0.4408104469295626
Standard vs Additive,h1,31,0.1858167437357371,0.13286299465959028,0.2387704928118839,0.7985556354541651,0.7559055199219596,0.8412057509863705
Standard vs Additive,h2,31,0.22195795832792117,0.15463731844252124,0.28927859821332114,0.7729147944710144,0.7139964688550223,0.8318331200870065
Standard vs Additive,z,31,0.4463135549316277,0.41735503670989976,0.4752720731533557,0.47437120820969547,0.45441585270676677,0.4943265637126242
Standard vs Token-Time,h1,31,0.1775395358208668,0.13042876008124354,0.22465031156049003,0.8215716573096741,0.7852425618360948,0.8579007527832534
Standard vs Token-Time,h2,31,0.21803326248762017,0.1514539314883644,0.28461259348687595,0.7851017210473787,0.7285059260621507,0.8416975160326068
Standard vs Token-Time,z,31,0.4224325081648623,0.39487999150468495,0.4499850248250396,0.677697956979864,0.6573316596242995,0.6980642543354285
Token-Time vs Memory-Augmented,h1,31,0.6981580974070034,0.6401616189130631,0.7561545759009437,0.3529346887337194,0.30529317608602324,0.4005762013814156
Token-Time vs Memory-Augmented,h2,31,0.7980189105103475,0.7445068745646224,0.8515309464560725,0.24176255355790338,0.1943508336744501,0.28917427344135666
Token-Time vs Memory-Augmented,z,31,0.6788103655985935,0.6447090482201181,0.712911682977069,0.4281580160663344,0.3974046592126632,0.4589113729200056
