model,model_label,layer,head,metric,n,mean,sd,ci95_low,ci95_high
Additive,Additive,0,0,context_mass_period_variance,31,0.0038550439884069507,0.005562110804155576,0.001897034190268921,0.0058130537865449805
Additive,Additive,0,0,entropy_period_variance,31,0.017850062491764043,0.024506923612283373,0.009222978594186778,0.02647714638934131
Additive,Additive,0,0,object_mass_period_variance,31,0.005920160333224782,0.010912409342415254,0.0020787042446875695,0.009761616421761994
Additive,Additive,0,0,verb_mass_period_variance,31,0.005567875065838656,0.0039061626736746923,0.004192802713367382,0.006942947418309929
Additive,Additive,0,1,context_mass_period_variance,31,0.00450867954703967,0.012892474736006035,-2.9811817872871238e-05,0.009047170911952212
Additive,Additive,0,1,entropy_period_variance,31,0.014445028197622736,0.04514242345337295,-0.0014462962555619498,0.030336352650807422
Additive,Additive,0,1,object_mass_period_variance,31,0.003245065390191733,0.0038817052087066566,0.0018786027108699508,0.004611528069513516
Additive,Additive,0,1,verb_mass_period_variance,31,0.008321659316597452,0.02123593954209042,0.0008460481394496674,0.015797270493745234
Additive,Additive,0,2,context_mass_period_variance,31,0.0023751440643615057,0.004023660357753016,0.0009587094260990181,0.003791578702623993
Additive,Additive,0,2,entropy_period_variance,31,0.02035371871085416,0.03463871208111081,0.00815997787436721,0.03254745954734111
Additive,Additive,0,2,object_mass_period_variance,31,0.003938716422393289,0.0037152170843318955,0.0026308619568014193,0.005246570887985158
Additive,Additive,0,2,verb_mass_period_variance,31,0.004229324969303045,0.005093636767408332,0.0024362303960539303,0.0060224195425521605
Additive,Additive,0,3,context_mass_period_variance,31,0.003258526466283532,0.0037743135784428106,0.0019298684750915739,0.00458718445747549
Additive,Additive,0,3,entropy_period_variance,31,0.016130967283530626,0.028031400229393162,0.006263174598840836,0.025998759968220417
Additive,Additive,0,3,object_mass_period_variance,31,0.004046760024429118,0.003483488091309892,0.0028204802801662003,0.0052730397686920364
Additive,Additive,0,3,verb_mass_period_variance,31,0.004706313295766701,0.006045390455942505,0.002578176305496402,0.006834450286037
Additive,Additive,1,0,context_mass_period_variance,31,0.00035118875537846957,0.0008412663318636219,5.504080388459676e-05,0.0006473367068723424
Additive,Additive,1,0,entropy_period_variance,31,0.001776316271203727,0.006504422327772173,-0.0005134120527071433,0.004066044595114598
Additive,Additive,1,0,object_mass_period_variance,31,0.0005166940492998307,0.0014252177995124798,1.497976956249666e-05,0.0010184083290371646
Additive,Additive,1,0,verb_mass_period_variance,31,0.00038711634705033217,0.0010616625488536504,1.3383110485076116e-05,0.0007608495836155882
Additive,Additive,1,1,context_mass_period_variance,31,0.00020166469666195515,0.0005588290199079176,4.942133054254349e-06,0.0003983872602696559
Additive,Additive,1,1,entropy_period_variance,31,0.0005819086918908397,0.0022606833905450623,-0.00021391152547484886,0.001377728909256528
Additive,Additive,1,1,object_mass_period_variance,31,0.00021734182567080863,0.0008844904563873644,-9.402215842532641e-05,0.0005287058097669437
Additive,Additive,1,1,verb_mass_period_variance,31,0.00020900678398275764,0.0006167630982331564,-8.110104190027945e-06,0.00042612367215554323
Additive,Additive,1,2,context_mass_period_variance,31,0.0003014419846139124,0.0008929072576959911,-1.2884935678847778e-05,0.0006157689049066725
