layer,head,metric,n,mean,sd,ci95_low,ci95_high,t,p_two_sided
-1,-1,baseline_cka,31,0.8870529433115545,0.0894085812394111,0.8555787630464663,0.9185271235766427,,
0,0,cka_ablated,31,0.860929954331793,0.10377372033548438,0.8243988659805314,0.8974610426830546,,
0,0,cka_delta_vs_baseline,31,-0.026122988979761418,0.0436667715478207,-0.041494845016827236,-0.010751132942695602,-3.330831246199054,0.0023061278601492017
0,1,cka_ablated,31,0.86646384566423,0.09797477023717885,0.8319741407933032,0.9009535505351567,,
0,1,cka_delta_vs_baseline,31,-0.020589097647324188,0.03371314995320607,-0.032457016187378465,-0.008721179107269912,-3.4003124686572757,0.0019220154791748224
0,2,cka_ablated,31,0.8681211672421303,0.0961147058126531,0.8342862541394058,0.9019560803448547,,
0,2,cka_delta_vs_baseline,31,-0.018931776069424,0.05676739849769079,-0.03891539854423,0.0010518464053820044,-1.8568345725532056,0.0731783630306847
0,3,cka_ablated,31,0.8787715931025718,0.10344247825337335,0.8423571107063452,0.9151860754987984,,
0,3,cka_delta_vs_baseline,31,-0.008281350208982421,0.03955126102331394,-0.022204437924981356,0.005641737507016515,-1.1657935898050895,0.2528831017177487
1,0,cka_ablated,31,0.8768574110422905,0.09634847772404609,0.8429402040570538,0.9107746180275272,,
1,0,cka_delta_vs_baseline,31,-0.010195532269263863,0.011174372514324954,-0.014129206308038114,-0.006261858230489613,-5.080045537780257,1.8583322809281023e-05
1,1,cka_ablated,31,0.8784816575472634,0.09104976739462749,0.8464297364413992,0.9105335786531276,,
1,1,cka_delta_vs_baseline,31,-0.008571285764291088,0.009062494700539917,-0.011761523075991865,-0.005381048452590312,-5.265978188015826,1.0991332114538682e-05
1,2,cka_ablated,31,0.8803557895935797,0.09198595509177286,0.8479743057104805,0.912737273476679,,
1,2,cka_delta_vs_baseline,31,-0.006697153717974417,0.008176854348236956,-0.009575622251868747,-0.0038186851840800863,-4.5602101022347785,8.040451687062376e-05
1,3,cka_ablated,31,0.8780519553059433,0.09273367901174132,0.845407252869106,0.9106966577427805,,
1,3,cka_delta_vs_baseline,31,-0.009000988005610897,0.009809284274834521,-0.012454114956713266,-0.005547861054508527,-5.108974196666988,1.7125304306635496e-05
