model,model_label,scope,metric,n,mean,sd,ci95_low,ci95_high
Additive,Additive,pooled,centroid_cosine_distance,31,0.11991452786230272,0.033924600237450246,0.10797217324160441,0.13185688248300104
Additive,Additive,pooled,semantic_axis_auroc,31,0.7674411162314388,0.02586797923224571,0.7583349048346923,0.7765473276281853
Additive,Additive,pooled,silhouette_cosine,31,0.03846859283024265,0.01223238968709866,0.03416246882349195,0.04277471683699335
Additive,Additive,subject_mean,centroid_cosine_distance,31,0.2018263108307315,0.03474863411902074,0.18959387453584084,0.21405874712562215
Additive,Additive,subject_mean,semantic_axis_auroc,31,0.775448028673835,0.035012466725885635,0.763122716338265,0.787773341009405
Additive,Additive,subject_mean,silhouette_cosine,31,-0.05042120412653011,0.014471673932663102,-0.055515615286847675,-0.045326792966212545
Joint,Token-Time,pooled,centroid_cosine_distance,31,0.11319904942666331,0.04590832060066845,0.09703810896409418,0.12935998988923245
Joint,Token-Time,pooled,semantic_axis_auroc,31,0.7333429339477726,0.05585748779735456,0.7136796240538231,0.7530062438417221
Joint,Token-Time,pooled,silhouette_cosine,31,0.03779194751874574,0.019284209679550416,0.031003396763212857,0.044580498274278624
Joint,Token-Time,subject_mean,centroid_cosine_distance,31,0.18939052642353119,0.050786180825967246,0.17151245042530405,0.20726860242175832
Joint,Token-Time,subject_mean,semantic_axis_auroc,31,0.7584229390681003,0.04815251335785995,0.7414719835263263,0.7753738946098744
Joint,Token-Time,subject_mean,silhouette_cosine,31,-0.0421323932452886,0.03281357112270282,-0.05368363629534599,-0.030581150195231204
Static,Standard,pooled,centroid_cosine_distance,31,0.05847910334987025,0.05513210610285383,0.039071146956638735,0.07788705974310176
Static,Standard,pooled,semantic_axis_auroc,31,0.6955085125448028,0.06316278865048809,0.6732735439492513,0.7177434811403544
Static,Standard,pooled,silhouette_cosine,31,0.051235900012656085,0.04552813589320908,0.03520879460093698,0.06726300542437519
Static,Standard,subject_mean,centroid_cosine_distance,31,0.0666701284147078,0.03701346058578239,0.053640413430279275,0.07969984339913633
Static,Standard,subject_mean,semantic_axis_auroc,31,0.7451612903225808,0.06540459604739708,0.7221371463575982,0.7681854342875635
Static,Standard,subject_mean,silhouette_cosine,31,0.053839494622567846,0.05928269188017284,0.03297042249357443,0.07470856675156126
Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,31,0.09548253590060819,0.032616778508932145,0.08400056904434332,0.10696450275687307
Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,31,0.7256304403481824,0.05686360791434965,0.7056129496195561,0.7456479310768086
Timeformer,Memory-Augmented,pooled,silhouette_cosine,31,0.0392340881629817,0.01437514360712047,0.03417365822488083,0.044294518101082564
Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,31,0.16169552956857994,0.042419707717164454,0.14676267291237943,0.17662838622478044
Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,31,0.7555555555555556,0.04435175519977099,0.7399425671949337,0.7711685439161776
Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,31,-0.040242609793354096,0.03417639767047604,-0.05227360375590841,-0.028211615830799786
