model,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
B3_oracle,test,0.886,0.8304,0.9592,0.8834,0.8285,0.9587,0.8446,-0.0003,0.0008,
B3_oracle,hard_verb,0.4698,0.3596,0.3419,0.493,0.3911,0.3427,0.9805,-0.0032,0.0003,
B3_oracle,hard_both,0.3043,0.1429,0.118,0.2319,0.1311,0.1074,0.8928,-0.0056,0.0017,
B3_oracle,ambiguous_test,0.5972,0.4574,0.584,0.5856,0.4559,0.5822,0.7062,0.0,0.0001,
B3_oracle,continuation,0.767,0.7836,0.7863,0.7771,0.7939,0.8085,0.7526,-0.0011,0.0001,
B3_oracle,interpolation,0.7613,0.7022,0.7861,0.7563,0.6959,0.7856,0.7231,-0.0018,0.0001,
B3_oracle,contrastive,,,,,,,,,,0.7586
B2b_ref,test,0.886,0.8324,0.9532,0.8899,0.834,0.9572,0.8045,-0.0004,0.0007,
B2b_ref,hard_verb,0.4977,0.3864,0.3517,0.4977,0.3933,0.3303,0.8763,-0.0032,0.0003,
B2b_ref,hard_both,0.1594,0.0645,0.0387,0.2174,0.1,0.0435,0.7246,-0.0056,0.0017,
B2b_ref,ambiguous_test,0.5772,0.4375,0.5642,0.5756,0.4353,0.5629,0.6913,-0.0,0.0001,
B2b_ref,continuation,0.7758,0.7866,0.793,0.7796,0.7879,0.8033,0.7327,-0.0011,0.0001,
B2b_ref,interpolation,0.7588,0.6923,0.7753,0.7563,0.6861,0.7962,0.7246,-0.0009,0.0006,
B2b_ref,contrastive,,,,,,,,,,0.5862
B3_learned,test,0.882,0.8214,0.9572,0.8965,0.8448,0.9591,0.8207,0.0,0.0007,
B3_learned,hard_verb,0.4651,0.3503,0.3284,0.4837,0.3934,0.3089,0.9237,-0.0044,0.0,
B3_learned,hard_both,0.2029,0.0351,0.0687,0.2319,0.0702,0.0658,0.8522,0.0,0.0035,
B3_learned,ambiguous_test,0.5834,0.4313,0.5784,0.584,0.4421,0.5599,0.6962,0.0002,0.0006,
B3_learned,continuation,0.7443,0.7545,0.777,0.762,0.7747,0.7876,0.7368,0.0048,0.0043,
B3_learned,interpolation,0.7688,0.7032,0.7971,0.7688,0.707,0.7847,0.7226,-0.0024,0.0,
B3_learned,contrastive,,,,,,,,,,0.6207
