model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Standard Transformer,test,0.865,0.7976,0.9222,0.8873,0.8273,0.9487,0.8176,0.0319,0.0078,
Static,Standard Transformer,hard_verb,0.4744,0.3152,0.4244,0.4651,0.3275,0.33,0.8279,0.0097,0.0034,
Static,Standard Transformer,hard_both,0.3188,0.0784,0.1112,0.2174,0.0,0.0803,0.7739,0.0253,0.0063,
Static,Standard Transformer,ambiguous_test,0.5676,0.383,0.5451,0.551,0.38,0.5361,0.6379,0.0369,0.0083,
Static,Standard Transformer,continuation,0.7078,0.6822,0.7695,0.738,0.7249,0.7718,0.7547,-0.0004,0.0097,
Static,Standard Transformer,interpolation,0.7538,0.6711,0.7808,0.7588,0.6779,0.7969,0.7211,0.0529,0.0243,
Static,Standard Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.865,0.8,0.9438,0.8794,0.8251,0.9447,0.7906,0.0002,0.0018,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.5628,0.4471,0.4126,0.5442,0.4432,0.4121,0.9191,-0.0023,0.0007,
Additive,Additive Time-Conditioned Transformer,hard_both,0.2754,0.0741,0.0687,0.1739,0.0,0.0232,0.9014,-0.0097,0.0006,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.591,0.4471,0.5766,0.562,0.4234,0.5632,0.671,-0.0001,0.0,
Additive,Additive Time-Conditioned Transformer,continuation,0.7569,0.7748,0.775,0.7481,0.763,0.7735,0.7015,-0.0012,0.0002,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7839,0.7244,0.7989,0.7538,0.6879,0.7769,0.6879,-0.0018,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.8966
Joint,Token-Time Transformer,test,0.8847,0.8308,0.9551,0.8912,0.8401,0.9549,0.7895,-0.0003,0.0008,
Joint,Token-Time Transformer,hard_verb,0.5349,0.4382,0.37,0.5163,0.4286,0.345,0.8521,-0.0032,0.0003,
Joint,Token-Time Transformer,hard_both,0.2029,0.0984,0.0542,0.2029,0.0984,0.0629,0.7536,-0.0056,0.0017,
Joint,Token-Time Transformer,ambiguous_test,0.5918,0.4538,0.5692,0.588,0.4621,0.5713,0.6958,0.0,0.0001,
Joint,Token-Time Transformer,continuation,0.7909,0.8019,0.7819,0.7708,0.7812,0.7829,0.7081,-0.0011,0.0001,
Joint,Token-Time Transformer,interpolation,0.7588,0.6883,0.777,0.7764,0.7227,0.7941,0.6985,-0.0018,0.0001,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.5517
Timeformer,Memory-Augmented Timeformer,test,0.8742,0.8118,0.9341,0.886,0.8324,0.9504,0.7906,0.0048,0.0009,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.5395,0.4,0.4226,0.5442,0.4432,0.3656,0.9023,-0.0022,0.0009,
Timeformer,Memory-Augmented Timeformer,hard_both,0.1884,0.0,0.0532,0.1449,0.0,0.0193,0.8754,-0.0113,0.0007,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.5822,0.417,0.5693,0.5658,0.4115,0.5666,0.6624,0.014,0.0041,
Timeformer,Memory-Augmented Timeformer,continuation,0.7557,0.7646,0.7588,0.7657,0.7732,0.7711,0.6655,-0.0012,0.0,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7638,0.6987,0.7815,0.7663,0.7121,0.788,0.6864,-0.0017,0.0001,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.4138
